Question ID,Category,Question,Answer,Answer Meaning,Patient Status,Target
Q0001,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0001,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0001,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0002,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0002,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0002,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0003,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0003,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0003,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0004,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0004,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0004,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0005,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0005,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0005,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0006,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0006,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0006,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0007,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0007,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0007,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0008,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0008,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0008,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0009,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0009,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0009,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0010,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0010,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0010,Domestic Violence / Physical Abuse,Have you ever been slapped or hit by a family member in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0011,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0011,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0011,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0012,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0012,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0012,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0013,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0013,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0013,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0014,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0014,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0014,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0015,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0015,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0015,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0016,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0016,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
