Question ID,Category,Question,Answer,Answer Meaning,Patient Status,Target
Q0001,Crisis Intervention,"In your daily life, have you overdosed on any substance?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0001,Crisis Intervention,"In your daily life, have you overdosed on any substance?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0001,Crisis Intervention,"In your daily life, have you overdosed on any substance?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0002,Crisis Intervention,How severely are you experiencing a panic attack right now?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0002,Crisis Intervention,How severely are you experiencing a panic attack right now?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0002,Crisis Intervention,How severely are you experiencing a panic attack right now?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0003,Crisis Intervention,"Recently, are you experiencing paranoid thoughts?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0003,Crisis Intervention,"Recently, are you experiencing paranoid thoughts?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0003,Crisis Intervention,"Recently, are you experiencing paranoid thoughts?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0004,Crisis Intervention,"When facing challenges, are you in unbearable emotional pain?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0004,Crisis Intervention,"When facing challenges, are you in unbearable emotional pain?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0004,Crisis Intervention,"When facing challenges, are you in unbearable emotional pain?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0005,Crisis Intervention,"In the past week, can you remove dangerous items from your environment?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0005,Crisis Intervention,"In the past week, can you remove dangerous items from your environment?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0005,Crisis Intervention,"In the past week, can you remove dangerous items from your environment?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0006,Crisis Intervention,How often do you feel dizzy or like you might faint?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0006,Crisis Intervention,How often do you feel dizzy or like you might faint?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0006,Crisis Intervention,How often do you feel dizzy or like you might faint?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0007,Crisis Intervention,"During difficult times, is there a trusted person you can call?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0007,Crisis Intervention,"During difficult times, is there a trusted person you can call?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0007,Crisis Intervention,"During difficult times, is there a trusted person you can call?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0008,Crisis Intervention,"In the past month, do you have the means to carry out self-harm?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0008,Crisis Intervention,"In the past month, do you have the means to carry out self-harm?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0008,Crisis Intervention,"In the past month, do you have the means to carry out self-harm?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0009,Crisis Intervention,"Recently, have you overdosed on any substance?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0009,Crisis Intervention,"Recently, have you overdosed on any substance?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0009,Crisis Intervention,"Recently, have you overdosed on any substance?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0010,Crisis Intervention,How severely are you willing to accept help right now?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0010,Crisis Intervention,How severely are you willing to accept help right now?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0010,Crisis Intervention,How severely are you willing to accept help right now?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0011,Crisis Intervention,Does this significantly impact you: are you experiencing withdrawal symptoms?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0011,Crisis Intervention,Does this significantly impact you: are you experiencing withdrawal symptoms?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0011,Crisis Intervention,Does this significantly impact you: are you experiencing withdrawal symptoms?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0012,Crisis Intervention,Have you used alcohol or drugs in the past 24 hours?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0012,Crisis Intervention,Have you used alcohol or drugs in the past 24 hours?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0012,Crisis Intervention,Have you used alcohol or drugs in the past 24 hours?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0013,Crisis Intervention,Does this significantly impact you: can you reach out to someone for immediate help?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0013,Crisis Intervention,Does this significantly impact you: can you reach out to someone for immediate help?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0013,Crisis Intervention,Does this significantly impact you: can you reach out to someone for immediate help?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0014,Crisis Intervention,Would you say are you intoxicated right now?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0014,Crisis Intervention,Would you say are you intoxicated right now?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0014,Crisis Intervention,Would you say are you intoxicated right now?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0015,Crisis Intervention,Does this significantly impact you: do you have a suicide plan?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0015,Crisis Intervention,Does this significantly impact you: do you have a suicide plan?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0015,Crisis Intervention,Does this significantly impact you: do you have a suicide plan?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0016,Crisis Intervention,Does this significantly impact you: can you remove dangerous items from your environment?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0016,Crisis Intervention,Does this significantly impact you: can you remove dangerous items from your environment?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0016,Crisis Intervention,Does this significantly impact you: can you remove dangerous items from your environment?,2,Uncertain - Further assessment needed,Further Session Needed,2
